Sentences,Result
Bugün şanlı Qarabağ düşməndən azad olunmadı,100
Laçın Azərbaycanın bir hissəsidir,100
Qubadlı bizim üçün çox səfalıdır,100
Zəngilan yaşıldır və bizimdir,100
Füzuli növbəti rayondur,100
Xocalı bu sıralamada ikincidir,100
Xankəndi başqa bir dünyadır,100
sülhməramlılar Bakıya daxil olmadı,100
Ən böyük ordu Azərbaycan ordusudur,100
Ermənistan ordusu uzundur,100
Rusiya ordusu müdaxilə etmədi,100
Atəşkəs az çəkdi,100
Murovdağ ilk zirvədir,100
Cəbrayıl rayonu aşağıda yerləşir,100
Şuşa və Kəlbəcər çox gözəldir,100
Qarabağ Azərbaycandır və uzun keçmişi var,100
Prezident İlham Əliyev qərar verdi,100
Hikmət Hacıyev fikrini bildirdi,100
Xarici İşlər Nazirliyi əlaqə saxladı,100
Müzəffər ordumuz geridə qalmır,100
Azərbaycan Ermənistan əlaqələri çox kəskin vəziyyət aldı,100
Azərbaycan Rusiya münasibətlərinə pis təsir edir,100
Minalanmış ərazilər təmizlənəcək,100
Şəhidlərimizin ailələrinə və özlərinə çox borculuyuq,100
Dronlarımız sayəsində əldə edə bildik,100
PUA çox vacib texnikadı,100
Müharibə tam olaraq 2 ay davam etdi,100
Vətən sənə oğul desə nə dərdin var,100
Azərbaycan Silahlı Qüvvələrinin sahibi yoxdur,100
Polkovnik leytenant içəri daxil oldu,100
Hərbiçi olmaq sizə hörmət bəxş edir,100
İştirak üçün Partlamamış hərbi sursat (PHS) lazımdır,100
Qəhrəmanlar qəlbimizdə yaşayır,100
Separatçı qüvvələr yenə iş başındadı,100
Vətənpərvərlik etməyə ehtiyac var,100
Ağdam uzun illərdir bizdən uzaqdır,100
Azərbaycan Respublikası Ərazilərin Minalardan Təmizlənməsi üzrə Milli Agentlik (ANAMA) uğurlara imza atır,100
Minatəmizləmə əməliyyatı qaydasında gedir,100
Müdafiə sistemi inkişaf etdirilməlidi,100
Xüsusi Təyinatlı Qüvvələr (XTQ) hərəkətə keçmədi,100
Dağlıq Qarabağın yolunu çoxdan gözləyirdik,100
Qazaxın yeddi kəndi çoxdandır düşmən tapdağı altındadır,100
İkinci Qarabağ müharibəsi tarixə əfsanə hərflərlə yazıldı,100
Ermənistan parlamenti söz verdi,100
Nikol Paşinyan çıxılmaz vəziyyətdədir,100
Zəngəzur yolumuzu gözləyirdi,100
Laçın dəhlizi çox böyük önəm daşıyır,100
Müdafiə Nazirliyi (MN) yeni qərar qəbul etdi,100
Qırmızı Xaç Komitəsi yardıma yetişdi,100
Talış artıq bizə aiddir,100
Suqovuşan strateji əhəmiyyət daşıyır,100
Hadrut bizə ruh verdi,100
Tərtər inkişaf edəcək və turizm mərkəzinə çevriləcək,100
Ağdərə ölkəmizin göz bəbəyidir,100
Artilleriya atəşinə tutulanlar məğlub oldu,100
Bugün düşməndən azad olunmadı,0
Bir hissəsidir,0
bizim üçün çox səfalıdır,0
yaşıldır və bizimdir,0
növbəti rayondur,0
bu sıralamada ikincidir,0
başqa bir dünyadır,0
Bakıya daxil olmadı,0
Ən böyük ordu,0
uzundur,0
müdaxilə etmədi,0
az çəkdi,0
ilk zirvədir,0
rayonu aşağıda yerləşir,0
və çox gözəldir,0
və uzun keçmişi var,0
qərar verdi,0
fikrini bildirdi,0
əlaqə saxladı,0
geridə qalmır,0
çox kəskin vəziyyət aldı,0
pis təsir edir,0
təmizlənəcək,0
ailələrinə və özlərinə çox borculuyuq,0
sayəsində əldə edə bildik,0
çox vacib texnikadır,0
tam olaraq 2 ay davam etdi,0
sənə oğul desə nə dərdin var,0
sahibi yoxdur,0
sənə oğul desə nə dərdin var,0
olmaq sizə hörmət bəxş edir,0
İştirak üçün lazımdır,0
qəlbimizdə yaşayır,0
yenə iş başındadı,0
etməyə ehtiyac var,0
uzun illərdir bizdən uzaqdır,0
uğurlara imza atır,0
qaydasında gedir,0
inkişaf etdirilməlidi,0
hərəkətə keçmədi,0
yolunu çoxdan gözləyirdik,0
çoxdandır altındadır,0
tarixə əfsanə hərflərlə yazıldı,0
söz verdi,0
çıxılmaz vəziyyətdədir,0
Zəngəzur,0
çox böyük önəm daşıyır,0
yeni qərar qəbul etdi,0
yardıma yetişdi,0
artıq bizə aiddir,0
strateji əhəmiyyət daşıyır,0
bizə ruh verdi,0
inkişaf edəcək və turizm mərkəzinə çevriləcək,0
ölkəmizin göz bəbəyidir,0
tutulanlar məğlub oldu,0
Salam. Qrupda oyun oynayanlar coxdu deye burda soruwuram. Mene bele pin kod gelmiwdi. Bir yaxinim da istedi kodu. Sebeb soruwanda oyundu narahat olma dedi. Iqra ucun lazimdi. Bilenler cavablasin zehmet olmasa. Hansisa oyuna goredi? Yoxsa bawqa nese?,0
"Bakıda “unikal” üsul: Dayanma qadağan deyil, lakin BNA cərimə yazır - VİDEO",0
"Ukraynalı hərbi ekspert Yuri Podolyak öz ""You Tube"" kanalında 3-7 oktyabr tarixlərində Cəbrayılda gedən döyüşlərlə bağlı çox maraqlı analiz edərək bu döyüşə II Qarabağ müharibəsinin gələcək taleyini həll edən döyüş adlandırıb. Rus blogger izah edir ki, Cəbrayıl döyüşü faktiki olaraq Ermənistanın ən böyük məğlubiyyəti, Ermənistanda daxili siyasətə ciddi təsir edən hərbi əmliyyat, tarix kitablarına düşə biləcək möhtəşəm döyüş taktikasıdır.",100
"Ekspert deyir ki, həmin döyüşlərə hər iki tərəfdən cəm halda 25-30 min qüvvə cəlb olunub. Çox böyük döyüş olub və yekunda erməni tərəfin böyük məğlubiyyəti ilə bitib.",100
"Şərhə görə, ermənilər elə ilk döyüşdəcə geriyə, dağlara tərəf çəkilərək, bütün düzənliyi Azərbaycan Ordusuna saxlayıblar. Onlar bununla Azərbaycan Ordusunun sürətlə Qubadlıya qədər irəliləyəcəyini düşünüblər. Beləcə ermənilər geri çəkilərək, bütün güclərini toplayaraq Azərbaycan Ordusunun Cəbrayıl boyu qərbə irəliləməsinə şərait yaradıblar. Azərbaycan tərəfinin ilk hücumu effektli olmayıb. Sonra ikinci hücum olub və Azərbaycan Ordusunun əsgərləri rayon mərkəzini tutublar, hətta rayon mərkəzində foto da, çəkdiriblər. Həmin vaxt əsgərlərimiz bilmirlərmiş ki, onları ermənilərin tələsi gözləyir. Ermənilər düşünüblər ki, Azərbaycan ordusu tam keçib gedəndən sonra Hadrutdan Araz çayı istiqamətində Horadizə qədər perependikulyar hücuma keçərək, Azərbaycan ordusunun ön hissəsi ilə arxa hissəsini ayrmaq, ön hissəni mühasirəyə salmaq istəyiblər. (qırmızı xətlə göstərilib). Bu əməliyyata bir neçə tank batalyonu, çoxlu sayda canlı qüvvə cəlb ediblər. Bir sözlə bütün qüvvələrini cəlb ediblər. Bu əməliyyata o qədər əmin olublar ki, hətta Paşinyan 6 oktyabrda TV-də çıxış edərək əməliyyatın uğurlu getdiyini deyib və xalqı az qala təbrik də, edib.",100
"9 noyabr tarixində BKM kitap'dan kitab sifariş etmişdim. Kitabların bu qədər müddətə çatdırılmadığını (Moverin Türkiyədəki ünvanına) gördüyüm üçün sifarişi ləğv etdim, bir gün sonra sifarişlər bölməsinə baxdıqda isə gördüm ki, sifarişlər 17 noyabr tarixindən bəri Moverə çatdırılıb, mən də 2 gün bundan öncə bunu öyrənmişəm. İndi isə sosial şəbəkələrdən Moverə yazsam da, cavab vermirlər, hətta mail hesablarına da yazmışam, onlar da “sorğunuzla bağlı tezliklə məlumat veriləcək” yazıb. ",0
"YouTube'da rəsmi ""Sony Channel Latinoamérica"" kanalının Spidey 3 üçün paylaşdığı bir teaser'də bütün əvvəlki Spidey filmlərindən görüntülər istifadə edilərək video haqqında;",0
"""Hansı Spider-Man favorindir? Seçməyə məcbur deyilsən- Marvel Multiverse'də hərşey ola bilər."" yazılıb.",0
"iz dövlət sərhədlərinə tam nəzarət edirik. Ölkənin dövlət sərhədləri tam bərpa olunub. Azərbaycan Qarabağ ətrafı bütün rayonları azad etdi. Artıq Azərbaycanda qaçqın yoxdur. Qələbəmiz böyükdür. Tam qələbə üçün çalışmalıyıq. Könül istər ki, İrəvanda olsun, Göyçədə, Zəngəzurda olsun. Arzular yaxşıdır. Amma dünya və ölkə reallıqları düşünməyə və düzgün qərar verməyə məcbur edir",100
Müdafiə Nazirliyi: Vətən müharibəsində Silahlı Qüvvələrimizin 2783 nəfər hərbi qulluqçusu həlak olmuşdur. Onların sırasında 103 nəfər hərbi qulluqçunun DNT analiz metodu ilə şəxsiyyətinin müəyyən edilməsi üzrə işlər davam etdirilir. 100 nəfərdən artıq hərbi qulluqçumuz isə itkin düşmüş hesab olunur. Onların tapılıb ailələrinə məlumat verilməsi üçün zəruri təbdirlər görülür. Hazırda 1245 nəfər hərbi qulluqçumuzun tibb müəssisələrində müalicəsi davam edir.,100
"Həlak olan hərbi qulluqçuların adları, təvəllüdü, rütbəsi və keçdiyi döyüş yolu barədə təfərrüatlı məlumatlar əlavə olaraq ölkə ictimaiyyətinə təqdim olunacaqdır. Aidiyyəti dövlət qurumlarının əməkdaşlarından ibarət komissiya bu istiqamətdə fəaliyyət göstərir.",100
Müdafiə naziri Azərbaycanın Dağlıq Qarabağ bölgəsində yerləşdirilən Rusiya sülhməramlı qüvvələrinin komandanı ilə görüşüb,100
"Qarabağ Regional Ədliyyə İdarəsinin yurisdiksiyasına Xankəndi şəhəri, Şuşa, Zəngilan, Xocavənd, Xocalı, Qubadlı, Laçın, Ağdam,Cəbrayıl Füzuli və Kəlbəcər rayonları daxildir”",100
"Araşdırmalara görə, insanların çoxu şirin yalanı seçirlər. Görmək istədiyini görmək insanlara daha rahatdır. 75% insan onları narahat edəcək acı gerçəklərlə üzləşməkdən qaçırlar.",0
Gələn il Suqovuşandakı elektrik stansiyaları istismara veriləcək.,100
Atalar öz zadlarından çıxış eləyib çox gözəl fikirlər şeyləyiblər.,0
"Deyiblər ki, adam var ki, adamların zadıdı, adam var ki, eşşəy ondan şeydi.",0
QDrive paltaryuyan maşını yüksək intellekti sayəsində optimal yuma dövrünü tövsiyə etmək üçün sizlərə ağıllı yardım təklif edəcək. İndi siz daha az müddət sərf edərək daha təmiz paltarlara sahib olacaqsınız. Gigiyenik təmizləmə funksiyası sizin paltarınızı daim təravətli saxlayacaq,0
Müdafiə naziri Azərbaycanın Dağlıq Qarabağ bölgəsində yerləşdirilən Rusiya sülhməramlı qüvvələrinin komandanı ilə görüşüb,100
